ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10483,0,0,0,0,0,0,0,0,0,0
10484,0,0,0,0,0,0,0,0,0,6
10485,0,0,0,0,0,0,0,0,0,0
10486,0,0,0,0,0,0,0,0,0,14
10487,0,0,0,0,0,0,0,0,0,0
10488,7,0,0,7,0,0,0,0,0,0
10489,24,24,24,24,24,24,24,24,24,24
10490,0,0,0,0,0,0,0,0,0,0
10491,25,25,25,25,25,25,25,25,25,25
10492,13,13,13,13,13,13,13,13,13,13
10493,0,0,0,0,0,0,0,0,20,0
10494,28,16,0,0,7,42,0,10,31,0
10495,16,16,16,16,16,16,16,16,16,16
10496,14,14,14,14,14,14,14,14,14,14
10497,11,0,0,0,0,0,0,0,2,0
10498,0,0,0,0,0,0,0,0,0,0
10499,0,17,0,0,0,0,0,0,0,0
10500,0,0,0,0,0,0,0,16,22,0
10501,0,0,0,14,0,0,0,0,0,0
10502,0,0,0,0,0,0,0,0,0,0
10503,0,0,0,25,0,0,0,0,0,0
10504,0,0,0,0,0,0,0,0,0,0
10505,0,0,0,0,0,0,0,0,0,0
10506,0,0,0,22,0,0,0,29,0,0
10507,0,0,0,0,0,0,0,0,15,10
10508,0,0,8,14,0,0,4,0,0,0
10509,0,0,0,0,0,8,0,0,0,0
10510,17,17,17,17,17,17,17,17,17,17
10511,13,10,16,28,7,6,17,10,20,13
10512,24,24,24,24,24,24,24,24,24,24
10513,0,0,0,0,0,0,0,0,0,0
10514,0,0,0,0,0,0,0,0,0,0
10515,0,0,0,0,0,0,0,0,0,0
10516,0,0,0,0,0,0,0,0,0,0
10517,11,11,11,11,11,11,11,11,11,11
10518,0,13,0,0,13,0,0,0,0,16
10519,0,0,0,0,0,0,0,0,0,0
10520,5,0,0,0,0,0,0,0,0,0
10521,0,0,0,0,0,0,0,0,0,0
10522,0,5,0,0,0,0,0,0,0,0
10523,0,0,0,0,0,0,0,0,0,0
10524,0,0,12,0,0,0,0,0,0,0
10525,0,23,0,24,17,0,19,0,0,0
10526,0,0,0,0,0,0,0,0,0,0
10527,21,21,21,21,21,21,21,21,21,21
10528,18,18,18,18,18,18,18,18,18,18
10529,0,8,0,0,0,0,0,0,0,0
10530,0,0,0,0,0,0,0,0,0,0
10531,5,26,23,18,17,13,22,15,10,12
10532,0,0,0,0,0,0,0,0,0,0
10533,0,0,0,0,0,0,0,0,0,0
10534,0,0,0,0,0,0,0,0,0,0
10535,0,0,0,0,0,0,0,0,0,0
10536,0,0,0,0,0,0,0,0,0,0
10537,0,0,0,0,0,0,0,0,0,0
10538,0,0,0,0,0,0,0,0,0,0
10539,0,0,0,0,0,0,0,0,0,0
10540,16,0,0,0,0,7,0,0,23,0
